transaction_id,account_id,amount,transaction_type,account_age_years,country_risk_level,is_foreign_transaction,num_prev_transactions,previous_suspicious_activity,avg_transaction_amount,time_of_day,device_type,customer_type,location_match,account_balance,txn_velocity_score,unusual_activity_flag,label
T00001,A1280,492186.36,online_transfer,11.5,medium,0,25,1,18920.51,morning,atm,business,0,1859634.71,0.29,0,1
T00002,A6644,63269.31,crypto,8.2,low,1,9,0,15103.08,afternoon,mobile,business,0,89861.16,0.61,0,0
T00003,A7967,147768.31,cheque,4.2,medium,0,26,1,30609.7,night,mobile,business,0,1270438.67,0.06,0,1
T00004,A4559,331226.51,bank_transfer,1.7,high,0,26,1,22843.62,night,web,personal,0,981465.5,0.62,0,1
T00005,A7122,337780.22,crypto,4.1,high,0,4,0,23538.64,evening,atm,business,0,351072.83,0.31,1,1
T00006,A1733,431859.12,crypto,2.2,high,0,12,1,20707.59,night,atm,personal,0,1370006.86,0.88,1,1
T00007,A8897,252389.33,online_transfer,0.3,high,1,9,1,12173.68,morning,atm,personal,1,1030447.98,0.59,1,1
T00008,A3351,114614.1,online_transfer,6.4,medium,0,11,0,22558.14,morning,atm,personal,0,491248.39,0.53,0,0
T00009,A7990,369945.15,upi,13.0,medium,1,17,0,2503.25,morning,mobile,business,0,802874.77,0.59,0,0
T00010,A2345,137458.46,upi,10.1,high,0,19,1,30294.02,morning,mobile,personal,0,207248.82,0.93,0,1
T00011,A9181,274784.42,crypto,5.3,medium,1,50,0,4490.15,afternoon,web,business,1,83156.36,0.3,1,1
T00012,A2990,287182.7,upi,6.0,high,0,3,1,36496.95,night,atm,business,1,1003728.1,0.56,0,1
T00013,A7388,102531.23,crypto,12.8,low,0,15,1,11488.75,night,mobile,personal,1,460436.95,0.82,0,1
T00014,A5831,251802.94,bank_transfer,11.2,medium,1,27,1,33150.7,afternoon,atm,personal,0,1625287.27,0.37,1,1
T00015,A8571,418772.79,online_transfer,14.5,high,1,44,1,49225.41,afternoon,atm,business,1,84013.04,0.08,1,1
T00016,A8016,213817.21,cheque,13.7,low,0,18,1,6864.76,night,web,personal,0,275466.41,0.14,0,0
T00017,A2370,443135.77,online_transfer,14.0,high,1,26,1,18857.04,morning,atm,business,1,1767796.1,0.84,0,1
T00018,A3816,463084.5,online_transfer,11.8,medium,1,6,1,35636.25,afternoon,mobile,business,0,292327.51,0.35,0,1
T00019,A1796,10715.62,upi,0.8,medium,0,43,0,44100.12,night,web,personal,0,1499026.56,0.39,1,0
T00020,A1562,434748.46,cheque,7.2,low,0,45,0,34645.15,evening,atm,personal,0,1433600.92,0.49,0,0
T00021,A1423,3739.61,cash,5.1,low,0,23,1,26491.75,evening,atm,personal,1,1981464.66,0.98,0,0
T00022,A9020,15258.6,cash,1.0,high,0,2,0,6080.18,afternoon,mobile,business,1,497993.81,0.88,1,1
T00023,A9895,348059.86,bank_transfer,12.0,low,1,7,1,10396.24,morning,atm,personal,0,1669535.47,0.02,1,1
T00024,A5480,126089.14,crypto,4.7,low,0,6,1,28995.31,evening,mobile,personal,1,958011.05,0.55,0,0
T00025,A5432,456184.08,online_transfer,6.1,medium,0,27,1,40861.72,morning,mobile,business,1,1710963.97,0.08,1,1
T00026,A1069,207703.44,upi,3.6,high,1,39,1,18226.87,evening,mobile,business,1,1940621.64,0.42,0,1
T00027,A4941,404297.1,upi,7.1,medium,1,19,0,48361.66,morning,web,business,1,668553.33,0.86,0,0
T00028,A9611,262247.46,cheque,1.5,high,0,42,0,23781.84,night,web,business,0,819050.17,0.56,0,1
