iter	Passed	Remaining
0	156	15481
1	161	7906
2	166	5389
3	170	4092
4	173	3297
5	176	2765
6	178	2374
7	180	2077
8	182	1843
9	183	1655
10	185	1500
11	187	1371
12	188	1264
13	190	1170
14	192	1088
15	193	1017
16	195	954
17	197	898
18	198	847
19	200	801
20	202	759
21	203	721
22	205	686
23	206	654
24	208	624
25	209	597
26	211	571
27	213	547
28	214	525
29	216	504
30	218	485
31	219	466
32	221	449
33	223	432
34	225	418
35	226	403
36	229	389
37	231	378
38	233	365
39	235	352
40	236	340
41	238	329
42	239	318
43	241	307
44	243	297
45	245	287
46	246	278
47	248	269
48	250	260
49	252	252
50	253	243
51	255	235
52	257	228
53	258	220
54	260	212
55	262	205
56	263	198
57	265	192
58	266	185
59	268	179
60	270	172
61	272	166
62	273	160
63	275	154
64	277	149
65	278	143
66	280	138
67	282	132
68	283	127
69	285	122
70	286	117
71	288	112
72	290	107
73	291	102
74	293	97
75	295	93
76	296	88
77	298	84
78	300	79
79	301	75
80	303	71
81	305	67
82	306	62
83	308	58
84	310	54
85	311	50
86	313	46
87	315	42
88	316	39
89	318	35
90	319	31
91	321	27
92	323	24
93	324	20
94	326	17
95	328	13
96	329	10
97	331	6
98	332	3
99	334	0
